what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.200.v200805292155,org.eclipse.jst.ejb.ui,1312143087864
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.102.v200805140135,org.eclipse.jst.j2ee.ejb.annotations.emitter,1312143087865
stopped,bundle,org.eclipse.jst.j2ee.jca.ui,1.1.200.v200805140020,org.eclipse.jst.j2ee.jca.ui,1312143087866
stopped,bundle,org.eclipse.jst.j2ee.ui,1.1.200.v200805140020,org.eclipse.jst.j2ee.ui,1312143087866
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.0.0.v20080605,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1312143087867
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.1.0.v20080610,org.eclipse.jst.jsf.facesconfig.ui,1312143087868
stopped,bundle,org.eclipse.jst.jsf.ui,1.1.0.v20080606,org.eclipse.jst.jsf.ui,1312143087869
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.0.v20080605,org.eclipse.jst.pagedesigner.jsf.ui,1312143087871
stopped,bundle,org.eclipse.jst.pagedesigner,1.1.0.v20080605,org.eclipse.jst.pagedesigner,1312143087873
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.1.0.v20080605,org.eclipse.jst.jsf.common.ui,1312143087874
stopped,bundle,org.eclipse.jst.jsf.core,1.1.0.v20080606,org.eclipse.jst.jsf.core,1312143087874
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.1.0.v20080515,org.eclipse.jst.jsf.standard.tagsupport,1312143087875
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.1.0.v20080605,org.eclipse.jst.pagedesigner.jsp.core,1312143087876
stopped,bundle,org.eclipse.jst.jsf.common,1.1.0.v20080605,org.eclipse.jst.jsf.common,1312143087876
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.0.v200804302218,org.eclipse.wst.jsdt.web.support.jsp,1312143087877
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.300.v200805152207,org.eclipse.jst.jsp.ui,1312143087878
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.201.v200805301834,org.eclipse.jst.ws.axis2.ui,1312143087879
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.300.v200805140230,org.eclipse.jst.ws.uddiregistry,1312143087881
stopped,bundle,org.eclipse.jst.ws.ui,1.0.302.v200805140230,org.eclipse.jst.ws.ui,1312143087881
stopped,bundle,org.devzuz.q.maven.dependency.analysis,0.8.0.200808231203,org.devzuz.q.maven.dependency.analysis,1312143087882
stopped,bundle,org.devzuz.q.maven.wizard,0.8.0.200808231203,org.devzuz.q.maven.wizard,1312143087883
stopped,bundle,org.devzuz.q.maven.wtp.core,0.8.0.200808231204,org.devzuz.q.maven.wtp.core,1312143087883
stopped,bundle,org.devzuz.q.maven.jdt.ui,0.8.0.200808231203,org.devzuz.q.maven.jdt.ui,1312143087884
stopped,bundle,org.devzuz.q.maven.dependencyviewer,0.8.0.200808231204,org.devzuz.q.maven.dependencyviewer,1312143087884
stopped,bundle,org.devzuz.q.maven.jdt.core,0.8.0.200808231203,org.devzuz.q.maven.jdt.core,1312143087885
