what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.0.0.v20080605,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1312142085750
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.1.0.v20080610,org.eclipse.jst.jsf.facesconfig.ui,1312142085753
stopped,bundle,org.eclipse.jst.jsf.ui,1.1.0.v20080606,org.eclipse.jst.jsf.ui,1312142085754
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.0.v20080605,org.eclipse.jst.pagedesigner.jsf.ui,1312142085755
stopped,bundle,org.eclipse.jst.pagedesigner,1.1.0.v20080605,org.eclipse.jst.pagedesigner,1312142085757
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.1.0.v20080605,org.eclipse.jst.jsf.common.ui,1312142085758
stopped,bundle,org.eclipse.jst.jsf.core,1.1.0.v20080606,org.eclipse.jst.jsf.core,1312142085758
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.1.0.v20080515,org.eclipse.jst.jsf.standard.tagsupport,1312142085759
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.1.0.v20080605,org.eclipse.jst.pagedesigner.jsp.core,1312142085760
stopped,bundle,org.eclipse.jst.jsf.common,1.1.0.v20080605,org.eclipse.jst.jsf.common,1312142085760
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.0.v200804302218,org.eclipse.wst.jsdt.web.support.jsp,1312142085761
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.300.v200805152207,org.eclipse.jst.jsp.ui,1312142085762
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.201.v200805301834,org.eclipse.jst.ws.axis2.ui,1312142085763
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.300.v200805140230,org.eclipse.jst.ws.uddiregistry,1312142085764
stopped,bundle,org.eclipse.jst.ws.ui,1.0.302.v200805140230,org.eclipse.jst.ws.ui,1312142085764
stopped,bundle,org.devzuz.q.maven.dependency.analysis,0.8.0.200808231203,org.devzuz.q.maven.dependency.analysis,1312142085765
stopped,bundle,org.devzuz.q.maven.wizard,0.8.0.200808231203,org.devzuz.q.maven.wizard,1312142085766
stopped,bundle,org.devzuz.q.maven.wtp.core,0.8.0.200808231204,org.devzuz.q.maven.wtp.core,1312142085766
stopped,bundle,org.devzuz.q.maven.jdt.ui,0.8.0.200808231203,org.devzuz.q.maven.jdt.ui,1312142085767
stopped,bundle,org.devzuz.q.maven.dependencyviewer,0.8.0.200808231204,org.devzuz.q.maven.dependencyviewer,1312142085768
stopped,bundle,org.devzuz.q.maven.jdt.core,0.8.0.200808231203,org.devzuz.q.maven.jdt.core,1312142085768
stopped,bundle,org.devzuz.q.maven.pomeditor,0.8.0.200808231204,org.devzuz.q.maven.pomeditor,1312142085769
stopped,bundle,org.devzuz.q.maven.search.lucene,0.8.0.200808231203,org.devzuz.q.maven.search.lucene,1312142085769
stopped,bundle,org.devzuz.q.maven.search.ui,0.8.0.200808231203,org.devzuz.q.maven.search.ui,1312142085770
stopped,bundle,org.devzuz.q.pomxmleditor,0.8.0.200808231204,org.devzuz.q.pomxmleditor,1312142085771
