what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.devzuz.q.maven.pomeditor,0.8.0.200808231204,org.devzuz.q.maven.pomeditor,1312143087886
stopped,bundle,org.devzuz.q.maven.search.lucene,0.8.0.200808231203,org.devzuz.q.maven.search.lucene,1312143087887
stopped,bundle,org.devzuz.q.maven.search.ui,0.8.0.200808231203,org.devzuz.q.maven.search.ui,1312143087887
stopped,bundle,org.devzuz.q.pomxmleditor,0.8.0.200808231204,org.devzuz.q.pomxmleditor,1312143087888
stopped,bundle,org.devzuz.q.maven.search,0.8.0.200808231203,org.devzuz.q.maven.search,1312143087889
stopped,bundle,org.devzuz.q.maven.ui,0.8.0.200808231203,org.devzuz.q.maven.ui,1312143087890
stopped,bundle,org.tigris.subversion.subclipse.ui,1.4.5,org.tigris.subversion.subclipse.ui,1312143087890
stopped,bundle,org.maven.ide.eclipse.jdt,0.9.7.200902090938,org.maven.ide.eclipse.jdt,1312143087890
stopped,bundle,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui,1312143087890
stopped,bundle,org.eclipse.rse.importexport,1.1.0.v20080604,org.eclipse.rse.importexport,1312143087891
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.1.0.v20080604,org.eclipse.rse.subsystems.shells.telnet,1312143087892
stopped,bundle,org.eclipse.rse.shells.ui,3.0.0.v20080606,org.eclipse.rse.shells.ui,1312143087894
stopped,bundle,org.eclipse.rse.files.ui,3.0.0.v20080609,org.eclipse.rse.files.ui,1312143087895
stopped,bundle,org.eclipse.rse.processes.ui,3.0.0.v20080604,org.eclipse.rse.processes.ui,1312143087896
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.300.v200805152207,org.eclipse.wst.dtd.ui,1312143087898
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.100.v200806051913,org.eclipse.wst.wsdl.ui,1312143087899
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.400.v200805140300,org.eclipse.wst.wsi.ui,1312143087900
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.0.v200804302218,org.eclipse.wst.jsdt.web.ui,1312143087901
stopped,bundle,org.eclipse.wst.web.ui,1.1.200.v200805281530,org.eclipse.wst.web.ui,1312143087902
stopped,bundle,org.eclipse.wst.html.ui,1.0.300.v200805152207,org.eclipse.wst.html.ui,1312143087902
stopped,bundle,org.eclipse.wst.css.ui,1.0.300.v200805152207,org.eclipse.wst.css.ui,1312143087903
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.101.v200806051910,org.eclipse.wst.xsd.ui,1312143087906
stopped,bundle,org.eclipse.wst.xml.ui,1.0.400.v200806051910,org.eclipse.wst.xml.ui,1312143087908
stopped,bundle,org.eclipse.wst.common.ui,1.1.301.v200805140415,org.eclipse.wst.common.ui,1312143087909
stopped,bundle,org.eclipse.wst.jsdt.ui,1.0.0.v200805282135,org.eclipse.wst.jsdt.ui,1312143087909
